ds,INFLOW_STRETCHER,Infl_Stretcher_cum,INFLOW_AMBULATORY,Infl_Ambulatory_cum,Inflow_Total,Inflow_Cum_Total,INFLOW_AMBULANCES,Infl_Ambulances_cum,FLS,CUM_ADMREQ,CUM_BA1,WAITINGADM,TTStr,TRG_HALLWAY1,TRG_HALLWAY_TBS,reoriented_cum,reoriented_cum_MD,QTRACK1,RESUS,Pod_T,POD_GREEN,POD_GREEN_TBS,POD_YELLOW,POD_YELLOW_TBS,POD_ORANGE,POD_ORANGE_TBS,POD_CONS_MORE2H,POD_IMCONS_MORE4H,POD_XRAY_MORE2H,POD_CT_MORE2H,POST_POD1,VERTSTRET,RAZ_TBS,RAZ_LAZYBOY,RAZ_WAITINGREZ,AMBVERT1,AMBVERTTBS,QTrack_TBS,Garage_TBS,RAZ_CONS_MORE2H,RAZ_IMCONS_MORE4H,RAZ_XRAY_MORE2H,RAZ_CT_MORE2H1,PSYCH1,PSYCH_WAITINGADM
2024-10-17 20:00:00,6,134,6,91,12,225,4,32,0,36,29,50,110,0,0,28,9,9,3,53,21,1,17,0,15,0,5,2,1,0,11,25,2,15,4,23,14,4,0,5,0,0,3,18,12
2024-10-17 19:00:00,7,128,3,85,10,213,1,28,0,34,26,51,116,4,3,27,9,7,2,53,22,1,16,2,15,0,5,1,2,2,10,30,3,15,5,18,14,4,0,6,0,0,0,17,11
2024-10-17 18:00:00,5,121,3,82,8,203,1,27,0,32,26,50,118,5,4,26,9,7,2,53,21,0,17,0,15,1,8,1,2,4,9,32,5,13,6,20,16,6,0,6,0,1,0,17,11
2024-10-17 17:00:00,12,116,3,79,15,195,4,26,2,28,22,52,132,5,5,26,9,11,3,54,21,0,17,1,16,3,7,1,2,3,12,42,9,16,6,19,18,4,0,7,0,5,5,16,11
2024-10-17 16:00:00,8,104,8,76,16,180,2,22,1,23,20,47,127,6,4,25,8,12,4,49,21,0,14,0,14,2,17,0,0,2,8,43,12,16,8,19,15,5,0,6,0,0,3,17,12
2024-10-17 15:00:00,8,96,7,68,15,164,0,20,1,19,13,54,138,10,8,25,6,12,4,53,22,1,16,0,15,2,14,0,2,3,9,44,11,15,11,16,11,6,0,7,0,0,2,18,11
2024-10-17 14:00:00,11,88,11,61,22,149,3,20,0,13,9,52,135,12,12,22,3,14,4,53,22,2,16,0,15,1,19,1,2,3,11,37,4,17,9,23,18,5,0,14,0,0,1,18,11
2024-10-17 13:00:00,16,77,11,50,27,127,3,17,0,11,7,54,128,7,7,17,2,11,3,51,20,3,17,0,14,0,19,2,3,3,11,36,6,16,8,20,15,2,0,16,0,0,3,20,13
2024-10-17 12:00:00,12,61,12,39,24,100,5,14,0,10,4,56,121,6,6,13,2,6,3,52,20,1,16,0,16,2,20,1,3,2,11,31,3,15,10,15,9,1,0,15,0,0,1,18,13
2024-10-17 11:00:00,10,49,8,27,18,76,1,9,0,8,3,57,118,5,5,10,0,6,5,53,21,1,16,1,16,0,21,1,3,1,11,27,5,13,6,9,3,3,0,14,0,0,1,17,13
2024-10-17 10:00:00,11,39,8,19,19,58,1,8,0,7,2,57,106,1,1,5,0,3,5,53,21,4,16,2,16,0,17,3,3,1,11,21,2,13,2,15,11,3,0,12,0,0,0,15,13
2024-10-17 09:00:00,7,28,3,11,10,39,1,7,0,6,2,56,105,0,0,5,0,0,5,51,20,3,15,0,16,0,15,2,3,1,11,24,3,11,1,5,4,0,0,12,0,0,1,14,12
2024-10-17 08:00:00,9,21,5,8,14,29,1,6,0,6,2,56,104,0,0,3,0,0,4,52,20,5,16,2,16,0,17,2,2,1,11,23,9,11,3,4,4,0,0,13,0,0,1,14,12
2024-10-17 07:00:00,3,12,1,3,4,15,2,5,0,5,2,55,98,0,0,2,0,0,3,50,19,3,16,1,15,0,16,2,2,1,11,20,5,11,4,1,1,0,0,13,0,0,0,14,12
2024-10-17 06:00:00,6,9,0,2,6,11,1,3,0,5,2,55,88,0,0,2,0,0,3,46,16,0,15,0,15,0,13,1,2,0,11,14,0,11,4,4,4,0,0,13,0,0,1,14,12
2024-10-17 05:00:00,1,3,0,2,1,5,1,2,0,4,2,54,89,0,0,2,0,0,3,46,16,0,15,0,15,0,13,1,2,0,11,15,0,12,4,2,2,0,0,12,0,0,0,14,12
2024-10-17 04:00:00,2,2,0,2,2,4,1,1,0,3,2,53,89,0,0,2,0,0,3,46,16,1,15,0,15,0,13,2,3,2,11,15,0,12,4,1,1,0,0,12,0,0,0,14,12
2024-10-17 03:00:00,0,0,0,2,0,2,0,0,0,3,2,53,93,0,0,2,0,0,3,45,15,0,15,1,15,0,12,2,6,2,11,20,0,10,11,4,2,0,0,10,0,0,1,14,12
2024-10-17 02:00:00,0,0,2,2,2,2,0,0,0,3,0,54,97,0,0,1,0,0,3,46,15,1,15,1,16,1,11,2,4,3,11,23,4,12,7,6,6,0,0,10,0,0,0,14,12
