ds,INFLOW_STRETCHER,Infl_Stretcher_cum,INFLOW_AMBULATORY,Infl_Ambulatory_cum,Inflow_Total,Inflow_Cum_Total,INFLOW_AMBULANCES,Infl_Ambulances_cum,FLS,CUM_ADMREQ,CUM_BA1,WAITINGADM,TTStr,TRG_HALLWAY1,TRG_HALLWAY_TBS,reoriented_cum,reoriented_cum_MD,QTRACK1,RESUS,Pod_T,POD_GREEN,POD_GREEN_TBS,POD_YELLOW,POD_YELLOW_TBS,POD_ORANGE,POD_ORANGE_TBS,POD_CONS_MORE2H,POD_IMCONS_MORE4H,POD_XRAY_MORE2H,POD_CT_MORE2H,POST_POD1,VERTSTRET,RAZ_TBS,RAZ_LAZYBOY,RAZ_WAITINGREZ,AMBVERT1,AMBVERTTBS,QTrack_TBS,Garage_TBS,RAZ_CONS_MORE2H,RAZ_IMCONS_MORE4H,RAZ_XRAY_MORE2H,RAZ_CT_MORE2H1,PSYCH1,PSYCH_WAITINGADM
2023-11-14 14:00,8,98,7,56,15,154,2,22,0,19,10,33,125,10,10,10,5,11,4,53,21,4,18,4,14,2,11,3,3,4,10,39,14,15,9,25,21,6,0,15,0,0,4,9,4
2023-11-14 13:00,14,90,7,49,21,139,1,20,0,18,9,35,126,5,5,10,2,11,5,55,22,6,18,4,15,3,7,3,3,2,11,40,12,16,9,28,24,5,0,12,0,0,5,10,5
2023-11-14 12:00,16,76,9,42,25,118,3,19,0,18,6,38,118,6,6,8,2,10,5,50,19,1,14,0,17,5,9,3,2,3,10,37,11,16,8,21,16,7,0,12,0,0,4,10,5
2023-11-14 11:00,12,60,10,33,22,93,5,16,0,13,4,35,114,7,7,7,1,6,5,52,21,2,16,0,15,3,11,3,1,3,7,33,5,15,10,17,12,5,0,16,0,0,7,10,6
2023-11-14 10:00,9,48,5,23,14,71,1,11,0,11,4,34,108,3,3,5,1,3,3,54,21,3,18,1,15,2,13,3,1,3,7,30,4,15,7,14,10,2,0,14,0,0,4,11,6
2023-11-14 9:00,12,39,6,18,18,57,1,10,0,8,4,32,103,7,7,2,1,3,3,48,17,0,17,0,14,0,15,4,1,3,7,26,2,11,6,12,9,2,0,14,0,0,3,12,6
2023-11-14 8:00,7,27,4,12,11,39,2,9,0,8,4,32,97,3,3,1,0,4,3,49,17,0,18,2,14,1,15,5,2,3,7,22,7,11,9,9,8,4,0,15,0,0,1,13,6
2023-11-14 7:00,3,20,0,8,3,28,0,7,0,7,4,31,93,2,2,1,0,5,3,48,17,0,17,1,14,1,15,5,2,3,7,20,7,10,10,6,5,5,0,14,1,0,1,13,6
2023-11-14 6:00,2,17,1,8,3,25,2,7,0,5,4,29,85,0,0,1,0,4,3,50,18,1,18,1,14,1,16,5,2,2,6,13,1,10,9,15,12,4,0,14,2,0,1,13,6
2023-11-14 5:00,3,15,1,7,4,22,2,5,0,5,4,29,82,1,0,1,0,4,3,46,18,1,17,1,11,0,13,4,3,4,6,13,2,10,1,24,20,4,0,11,2,0,1,13,6
