reference_year,date,name,region,establishment_code,establishment,source
2020-2021,2020-05-18,Journée nationale des Patriotes,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2020-2021,2020-06-24,Fête nationale du Québec,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2020-2021,2020-07-01,Fête du Canada,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2020-2021,2020-09-07,Fête du Travail,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2020-2021,2020-10-12,Action de grâces,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2020-2021,2020-12-24,Veille de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2020-2021,2020-12-25,Fête de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2020-2021,2020-09-18,Lendemain de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2020-2021,2020-12-31,Veille du jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2020-2021,2021-01-01,Jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2020-2021,2020-09-28,Lendemain du jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2020-2021,2021-04-02,Vendredi saint,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2020-2021,2021-03-29,Lundi de Pâques,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2021-2022,2021-05-24,Journée nationale des Patriotes,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2021-2022,2021-06-24,Fête nationale du Québec,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2021-2022,2021-07-01,Fête du Canada,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2021-2022,2021-09-06,Fête du Travail,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2021-2022,2021-10-11,Action de grâces,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2021-2022,2021-12-24,Veille de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2021-2022,2021-12-27,Fête de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2021-2022,2021-09-07,Lendemain de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2021-2022,2021-12-31,Veille du jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2021-2022,2022-01-03,Jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2021-2022,2021-09-16,Lendemain du jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2021-2022,2022-04-15,Vendredi saint,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2021-2022,2022-04-18,Lundi de Pâques,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2022-2023,2022-05-23,Journée nationale des Patriotes,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2022-2023,2022-06-24,Fête nationale du Québec,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2022-2023,2022-07-01,Fête du Canada,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2022-2023,2022-09-05,Fête du Travail,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2022-2023,2022-10-10,Action de grâces,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2022-2023,2022-12-23,Veille de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2022-2023,2022-12-26,Fête de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2022-2023,2022-09-26,Lendemain de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2022-2023,2022-12-30,Veille du jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2022-2023,2023-01-02,Jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2022-2023,2022-10-05,Lendemain du jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2022-2023,2023-04-07,Vendredi saint,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2022-2023,2023-04-06,Lundi de Pâques,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2023-2024,2023-05-22,Journée nationale des Patriotes,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2023-2024,2023-06-23,Fête nationale du Québec,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2023-2024,2023-06-30,Fête du Canada,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2023-2024,2023-09-04,Fête du Travail,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2023-2024,2023-10-09,Action de grâces,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2023-2024,2023-09-15,Veille de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2023-2024,2023-12-25,Fête de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2023-2024,2023-12-26,Lendemain de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2023-2024,2024-01-02,Veille du jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2023-2024,2024-01-01,Jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2023-2024,2023-09-25,Lendemain du jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
