ds,INFLOW_STRETCHER,Infl_Stretcher_cum,INFLOW_AMBULATORY,Infl_Ambulatory_cum,Inflow_Total,Inflow_Cum_Total,INFLOW_AMBULANCES,Infl_Ambulances_cum,FLS,CUM_ADMREQ,CUM_BA1,WAITINGADM,TTStr,TRG_HALLWAY1,TRG_HALLWAY_TBS,reoriented_cum,reoriented_cum_MD,QTRACK1,RESUS,Pod_T,POD_GREEN,POD_GREEN_TBS,POD_YELLOW,POD_YELLOW_TBS,POD_ORANGE,POD_ORANGE_TBS,POD_CONS_MORE2H,POD_IMCONS_MORE4H,POD_XRAY_MORE2H,POD_CT_MORE2H,POST_POD1,VERTSTRET,RAZ_TBS,RAZ_LAZYBOY,RAZ_WAITINGREZ,AMBVERT1,AMBVERTTBS,QTrack_TBS,Garage_TBS,RAZ_CONS_MORE2H,RAZ_IMCONS_MORE4H,RAZ_XRAY_MORE2H,RAZ_CT_MORE2H1,PSYCH1,PSYCH_WAITINGADM
2021-01-01 01:00:00,1,1,1,1,2,2,0,0,0,1,2,17,43,0,0,0,0,0,3,32,12,0,12,0,8,0,8,1,1,1,0,5,0,2,3,0,0,0.0,0.0,1,0,0,0,3,3
2021-01-01 02:00:00,2,3,1,2,3,5,1,1,0,2,4,16,43,0,0,0,0,0,4,31,11,0,12,0,8,1,10,1,5,2,0,5,0,3,2,2,2,0.0,0.0,1,1,0,0,3,3
2021-01-01 03:00:00,0,3,1,3,1,6,0,1,0,2,4,16,40,0,0,0,0,0,4,30,11,0,11,0,8,1,10,1,6,2,0,3,0,2,1,2,1,0.0,0.0,0,0,0,0,3,3
2021-01-01 04:00:00,1,4,0,3,1,7,1,2,0,3,4,17,41,0,0,1,0,0,4,30,11,0,11,0,8,1,10,2,1,1,0,3,0,2,1,2,0,0.0,0.0,0,0,0,0,4,3
2021-01-01 05:00:00,1,5,1,4,2,9,1,3,0,4,4,18,37,0,0,1,0,0,4,27,12,1,9,0,6,0,10,1,1,2,0,2,0,2,1,1,1,0.0,0.0,0,0,0,0,4,3
2021-01-01 06:00:00,3,8,0,4,3,12,2,5,0,6,5,19,38,0,0,1,0,0,4,28,11,1,10,0,7,0,9,1,1,1,0,2,0,2,2,1,1,0.0,0.0,0,0,0,0,4,3
2021-01-01 07:00:00,1,9,1,5,2,14,1,6,0,7,7,18,40,0,0,1,0,0,4,28,12,0,7,0,9,0,9,1,1,1,0,4,1,2,2,0,0,0.0,0.0,0,0,0,0,4,3
2021-01-01 08:00:00,1,10,1,6,2,16,1,7,0,8,7,19,39,0,0,1,0,0,4,27,10,0,8,0,9,0,10,0,1,1,0,4,0,3,0,1,1,0.0,0.0,0,0,1,2,4,3
2021-01-01 09:00:00,4,14,3,9,7,23,1,8,0,8,8,18,37,0,0,2,0,0,5,25,9,0,9,1,7,0,11,0,1,2,0,3,1,1,0,2,1,0.0,0.0,0,0,1,2,4,3
2021-01-01 10:00:00,5,19,5,14,10,33,4,12,0,9,10,17,40,0,0,3,0,0,3,29,12,1,9,1,8,0,10,0,1,2,0,4,0,1,2,2,1,0.0,0.0,0,0,1,0,4,3
2021-01-01 11:00:00,5,24,3,17,8,41,2,14,0,9,10,16,44,0,0,3,0,0,3,34,12,1,11,1,11,1,8,1,1,1,0,4,0,1,3,2,1,0.0,0.0,0,0,1,0,3,2
2021-01-01 12:00:00,9,33,8,25,17,58,2,16,1,10,11,17,44,0,0,3,0,0,3,35,11,2,11,2,13,0,6,1,1,1,0,3,0,1,6,5,1,0.0,0.0,0,0,1,0,3,2
2021-01-01 13:00:00,4,37,2,27,6,64,1,17,0,11,11,18,51,0,0,3,0,0,3,39,12,1,12,1,15,1,1,1,2,1,0,6,0,3,3,4,1,0.0,0.0,0,0,2,0,3,2
2021-01-01 14:00:00,5,42,4,31,9,73,1,18,1,13,15,14,47,0,0,5,1,0,3,37,13,3,12,0,12,0,1,1,3,1,0,5,1,3,5,1,1,0.0,0.0,3,0,2,0,2,1
2021-01-01 15:00:00,4,46,8,39,12,85,2,20,1,15,16,14,45,0,0,5,1,0,4,33,11,1,11,0,11,0,1,1,3,0,0,5,0,3,7,5,3,0.0,0.0,0,0,3,2,3,2
2021-01-01 16:00:00,4,50,9,48,13,98,2,22,1,16,17,14,45,0,0,5,1,0,2,33,11,1,12,0,10,0,1,1,4,0,0,6,0,4,4,8,6,0.0,0.0,0,0,2,1,4,2
2021-01-01 17:00:00,3,53,5,53,8,106,3,25,0,17,17,14,44,0,0,5,2,0,3,34,12,0,12,0,10,0,0,1,7,1,0,4,0,3,4,9,4,0.0,0.0,0,1,2,1,3,1
2021-01-01 18:00:00,3,56,3,56,6,112,1,26,0,19,21,11,45,0,0,5,4,0,3,37,12,0,13,0,12,1,1,2,7,2,0,3,0,3,4,9,5,0.0,0.0,1,1,2,1,2,1
2021-01-01 19:00:00,4,60,3,59,7,119,2,28,0,21,25,8,42,0,0,5,4,0,2,36,12,2,13,0,11,1,0,0,4,3,0,2,0,2,2,6,3,0.0,0.0,2,1,3,2,2,1
2021-01-01 20:00:00,0,60,4,63,4,123,0,28,0,22,25,9,38,0,0,5,9,0,2,31,9,0,13,0,9,0,1,0,3,3,0,2,0,2,1,8,2,0.0,0.0,0,1,2,1,3,2
