ds,INFLOW_STRETCHER,Infl_Stretcher_cum,INFLOW_AMBULATORY,Infl_Ambulatory_cum,Inflow_Total,Inflow_Cum_Total,INFLOW_AMBULANCES,Infl_Ambulances_cum,FLS,CUM_ADMREQ,CUM_BA1,WAITINGADM,TTStr,TRG_HALLWAY1,TRG_HALLWAY_TBS,reoriented_cum,reoriented_cum_MD,QTRACK1,RESUS,Pod_T,POD_GREEN,POD_GREEN_TBS,POD_YELLOW,POD_YELLOW_TBS,POD_ORANGE,POD_ORANGE_TBS,POD_CONS_MORE2H,POD_IMCONS_MORE4H,POD_XRAY_MORE2H,POD_CT_MORE2H,POST_POD1,VERTSTRET,RAZ_TBS,RAZ_LAZYBOY,RAZ_WAITINGREZ,AMBVERT1,AMBVERTTBS,QTrack_TBS,Garage_TBS,RAZ_CONS_MORE2H,RAZ_IMCONS_MORE4H,RAZ_XRAY_MORE2H,RAZ_CT_MORE2H1,PSYCH1,PSYCH_WAITINGADM
2023-11-17 13:00:00,6,77,14,51,20,128,3,21,0,23,5,42,128,12,6,14,0,6,5,56,20,1,18,1,18,0,13,3,4,1,6,39,4,17,10,19,12,3,0,16,0,2,6,10,3
2023-11-17 12:00:00,9,71,9,37,18,108,2,18,0,20,3,41,130,8,6,10,0,5,5,55,19,0,18,1,18,1,19,2,3,0,8,47,5,16,10,15,11,1,0,18,0,3,3,7,3
2023-11-17 11:00:00,11,62,7,28,18,90,4,16,0,14,3,35,125,8,7,6,0,3,5,51,18,0,16,1,17,1,21,3,3,0,7,48,6,19,9,10,7,3,0,22,1,1,1,6,3
2023-11-17 10:00:00,7,51,8,21,15,72,1,12,0,7,3,31,121,12,10,5,0,0,6,51,19,1,14,0,18,0,33,4,6,0,7,39,6,16,7,6,3,0,0,14,2,0,2,6,3
2023-11-17 09:00:00,14,44,3,13,17,57,4,11,1,6,1,32,106,7,7,2,0,1,5,56,19,2,18,0,19,0,34,4,6,0,7,25,1,12,4,11,10,1,0,13,2,0,1,6,3
2023-11-17 08:00:00,9,30,2,10,11,40,0,7,0,5,1,31,102,2,2,2,0,1,6,55,18,2,18,0,19,0,33,5,5,0,7,27,12,13,7,2,2,1,0,16,2,1,1,5,3
2023-11-17 07:00:00,6,21,0,8,6,29,0,7,0,5,1,31,86,0,0,1,0,0,6,55,18,2,18,0,19,0,34,4,5,2,7,13,0,12,5,10,7,0,0,13,2,0,1,5,3
2023-11-17 06:00:00,2,15,0,8,2,23,2,7,0,4,1,30,85,0,0,1,0,0,5,56,19,1,18,0,19,0,37,5,4,5,6,14,0,12,9,7,4,0,0,9,2,0,2,4,3
2023-11-17 05:00:00,1,13,1,8,2,21,0,5,0,3,1,29,85,0,0,1,0,0,4,57,19,1,18,0,20,1,37,4,3,3,5,15,0,12,10,10,9,0,0,9,2,0,1,4,3
2023-11-17 04:00:00,3,12,0,7,3,19,1,5,0,3,1,29,83,0,0,1,0,0,4,57,19,2,18,2,20,3,31,4,3,1,5,13,0,11,7,13,12,0,0,8,2,0,3,4,3
2023-11-17 03:00:00,2,9,4,7,6,16,2,4,0,2,1,28,82,0,0,1,0,0,5,58,20,4,18,2,20,3,26,3,3,1,5,11,0,10,4,14,12,0,0,8,2,0,1,3,3
2023-11-17 02:00:00,3,7,1,3,4,10,0,2,0,1,1,27,81,0,0,0,0,1,5,56,20,3,18,2,18,1,22,2,4,1,6,11,0,10,3,15,12,1,0,7,1,0,1,3,3
2023-11-17 01:00:00,4,4,2,2,6,6,2,2,0,0,0,27,82,1,1,0,0,1,5,56,19,4,18,2,19,1,19,2,4,5,5,12,0,11,2,16,14,1,0,7,1,4,1,3,3
2023-11-17 00:00:00,7,161,2,96,9,257,3,37,0,44,34,27,86,1,1,18,20,2,5,56,21,5,16,2,19,1,18,1,3,4,4,16,0,10,7,19,19,2,0,6,1,2,2,4,3
2023-11-16 23:00:00,2,154,1,94,3,248,0,34,0,43,34,26,86,2,2,18,20,3,3,53,18,2,17,1,18,0,13,1,2,0,4,19,0,9,6,22,17,2,0,7,1,1,4,5,3
