ds,holiday
2024-05-20,Journée nationale des Patriotes
2024-06-24,Fête nationale du Québec
2024-07-01,Fête du Canada
2024-09-02,Fête du Travail
2024-10-14,Action de grâces
2024-10-03,Veille de Noël
2024-12-25,Fête de Noël
2024-12-26,Lendemain de Noël
2024-12-31,Veille du jour de l'An
2025-01-01,Jour de l'An
2024-10-11,Lendemain du jour de l'An
2025-04-18,Vendredi saint
2025-04-14,Lundi de Pâques
2023-05-22,Journée nationale des Patriotes
2023-06-23,Fête nationale du Québec
2023-06-30,Fête du Canada
2023-09-04,Fête du Travail
2023-10-09,Action de grâces
2023-09-15,Veille de Noël
2023-12-25,Fête de Noël
2023-12-26,Lendemain de Noël
2024-01-02,Veille du jour de l'An
2024-01-01,Jour de l'An
2023-09-25,Lendemain du jour de l'An
2024-03-29,Vendredi saint
2024-04-23,Lundi de Pâques
2023-05-22,Journée nationale des Patriotes
2023-06-23,Fête nationale du Québec
2023-06-30,Fête du Canada
2023-09-04,Fête du Travail
2023-10-09,Action de grâces
2023-09-15,Veille de Noël
2023-12-25,Fête de Noël
2023-12-26,Lendemain de Noël
2024-01-02,Veille du jour de l'An
2024-01-01,Jour de l'An
2023-09-25,Lendemain du jour de l'An
2024-03-29,Vendredi saint
2024-04-23,Lundi de Pâques
2022-05-23,Journée nationale des Patriotes
2022-06-24,Fête nationale du Québec
2022-07-01,Fête du Canada
2022-09-05,Fête du Travail
2022-10-10,Action de grâces
2022-12-23,Veille de Noël
2022-12-26,Fête de Noël
2022-12-30,Lendemain de Noël
2023-01-02,Veille du jour de l'An
2022-10-05,Jour de l'An
2023-04-07,Lendemain du jour de l'An
2023-04-06,Vendredi saint
2021-05-24,Journée nationale des Patriotes
2021-06-24,Fête nationale du Québec
2021-07-01,Fête du Canada
2021-09-06,Fête du Travail
2021-10-11,Action de grâces
2021-12-24,Veille de Noël
2021-12-27,Fête de Noël
2021-09-07,Lendemain de Noël
2021-12-31,Veille du jour de l'An
2022-01-03,Jour de l'An
2021-09-16,Lendemain du jour de l'An
2022-04-15,Vendredi saint
2022-04-18,Lundi de Pâques
2020-05-18,Journée nationale des Patriotes
2020-06-24,Fête nationale du Québec
2020-07-01,Fête du Canada
2020-09-07,Fête du Travail
2020-10-12,Action de grâces
2020-12-24,Veille de Noël
2020-12-25,Fête de Noël
2020-09-18,Lendemain de Noël
2020-12-31,Veille du jour de l'An
2021-01-01,Jour de l'An
2020-09-28,Lendemain du jour de l'An
2021-04-02,Vendredi saint
2021-03-29,Lundi de Pâques
2019-05-20,Journée nationale des Patriotes
2019-06-24,Fête nationale du Québec
2019-07-01,Fête du Canada
2019-09-02,Fête du Travail
2019-10-14,Action de grâces
2019-09-30,Veille de Noël
2019-12-25,Fête de Noël
2019-12-26,Lendemain de Noël
2019-12-31,Veille du jour de l'An
2020-01-01,Jour de l'An
2019-10-09,Lendemain du jour de l'An
2020-04-10,Vendredi saint
2020-04-09,Lundi de Pâques
