ds,INFLOW_STRETCHER,Infl_Stretcher_cum,INFLOW_AMBULATORY,Infl_Ambulatory_cum,Inflow_Total,Inflow_Cum_Total,INFLOW_AMBULANCES,Infl_Ambulances_cum,FLS,CUM_ADMREQ,CUM_BA1,WAITINGADM,TTStr,TRG_HALLWAY1,TRG_HALLWAY_TBS,reoriented_cum,reoriented_cum_MD,QTRACK1,RESUS,Pod_T,POD_GREEN,POD_GREEN_TBS,POD_YELLOW,POD_YELLOW_TBS,POD_ORANGE,POD_ORANGE_TBS,POD_CONS_MORE2H,POD_IMCONS_MORE4H,POD_XRAY_MORE2H,POD_CT_MORE2H,POST_POD1,VERTSTRET,RAZ_TBS,RAZ_LAZYBOY,RAZ_WAITINGREZ,AMBVERT1,AMBVERTTBS,QTrack_TBS,Garage_TBS,RAZ_CONS_MORE2H,RAZ_IMCONS_MORE4H,RAZ_XRAY_MORE2H,RAZ_CT_MORE2H1,PSYCH1,PSYCH_WAITINGADM
2023-11-16 23:00:00,2,162,1,86,3,248,0,34,0,43,34,26,86,2,2,18,20,3,3,53,18,2,17,1,18,0,13,1,2,0,4,19,0,9,6,22,17,2,0,7,1,1,4,5,3
2023-11-16 22:00:00,6,160,4,85,10,245,1,34,0,42,33,27,99,4,4,18,20,3,3,54,18,2,17,2,19,0,13,1,2,0,7,25,2,10,9,23,17,2,0,7,1,1,5,6,4
2023-11-16 21:00:00,7,154,0,81,7,235,0,33,0,42,29,31,102,3,3,17,20,1,3,54,20,3,16,1,18,1,11,2,4,2,7,29,2,13,5,27,22,1,0,7,1,2,4,6,4
2023-11-16 20:00:00,9,147,5,81,14,228,2,33,1,39,28,29,106,7,6,17,20,1,4,52,19,1,16,1,17,0,12,0,5,3,7,29,3,11,6,29,25,1,0,7,1,0,1,7,4
2023-11-16 19:00:00,9,138,6,76,15,214,1,31,0,37,24,31,107,8,3,16,20,0,4,53,20,1,16,0,17,0,17,0,7,4,6,28,7,10,6,25,21,0,0,5,1,1,3,8,5
2023-11-16 18:00:00,6,129,4,70,10,199,2,30,0,31,22,29,110,13,8,15,17,3,4,52,18,0,17,0,17,0,19,0,10,4,6,27,6,12,3,17,13,0,0,6,0,0,3,8,5
2023-11-16 17:00:00,13,123,8,66,21,189,3,28,0,30,18,32,113,13,9,15,15,4,3,55,20,0,18,2,17,0,14,0,7,3,5,30,9,10,3,17,14,2,0,8,0,1,3,7,5
2023-11-16 16:00:00,11,110,6,58,17,168,2,25,0,27,15,34,119,8,5,14,11,7,3,53,21,0,17,2,15,2,13,1,6,3,7,40,13,14,5,10,10,4,0,10,0,2,2,8,6
2023-11-16 15:00:00,10,99,8,52,18,151,2,23,0,20,13,30,124,8,6,12,6,11,5,52,19,0,17,2,16,0,19,1,9,3,7,45,13,15,7,4,4,6,0,10,0,2,1,7,5
2023-11-16 14:00:00,19,89,6,44,25,133,5,21,0,17,9,31,114,9,7,12,4,9,6,52,20,1,15,1,17,0,14,2,5,2,8,31,0,14,9,14,14,5,0,11,0,1,2,8,6
2023-11-16 13:00:00,12,70,11,38,23,108,2,16,1,16,5,34,109,1,1,9,3,7,4,56,21,2,18,1,17,0,14,2,1,1,9,31,2,11,6,8,6,3,0,11,0,1,2,8,6
2023-11-16 12:00:00,13,58,3,27,16,85,0,14,0,14,4,35,109,0,0,8,2,3,3,54,19,1,17,1,18,2,14,1,1,0,9,35,5,11,7,1,1,1,0,12,0,1,1,8,6
2023-11-16 11:00:00,12,45,5,24,17,69,3,14,0,11,3,35,103,0,0,7,0,2,3,52,18,1,18,2,16,0,21,1,2,0,7,33,4,9,7,1,1,2,0,7,0,1,2,8,5
2023-11-16 10:00:00,10,33,9,19,19,52,4,11,0,9,3,35,98,2,2,5,0,0,3,51,17,0,16,1,18,1,19,1,3,2,7,27,1,9,5,6,6,0,0,8,0,1,1,8,5
2023-11-16 09:00:00,6,23,5,10,11,33,2,7,1,8,3,34,87,0,0,4,0,0,4,50,17,0,16,2,17,1,17,3,3,2,6,21,0,10,3,4,4,0,0,9,0,1,0,6,5
2023-11-16 08:00:00,3,17,3,5,6,22,1,5,0,5,3,31,75,0,0,2,0,0,4,47,16,1,14,1,17,0,16,3,2,1,6,12,0,12,0,11,9,0,0,9,0,1,1,6,5
2023-11-16 07:00:00,2,14,0,2,2,16,0,4,0,5,3,31,74,0,0,2,0,0,4,47,16,0,14,1,17,0,17,3,3,2,6,11,0,11,0,10,6,0,0,9,0,1,1,6,5
2023-11-16 06:00:00,2,12,0,2,2,14,1,4,0,5,3,31,72,0,0,2,0,0,4,45,16,1,12,0,17,0,14,3,2,1,6,11,1,9,1,10,9,0,0,9,0,1,0,6,5
2023-11-16 05:00:00,4,10,0,2,4,12,1,3,0,5,3,31,78,0,0,2,0,0,4,45,16,2,12,0,17,0,14,3,2,1,6,17,5,10,2,12,10,0,0,9,0,1,0,6,5
2023-11-16 04:00:00,1,6,0,2,1,8,0,2,0,5,3,31,80,0,0,2,0,0,4,48,16,2,13,1,19,0,15,3,2,1,6,17,7,9,1,12,11,0,0,7,0,1,0,5,5
2023-11-16 03:00:00,0,5,0,2,0,7,0,2,0,3,2,30,82,0,0,2,0,0,5,47,15,1,14,2,18,5,15,3,2,1,6,19,10,9,0,14,13,0,0,6,1,1,0,5,5
2023-11-16 02:00:00,3,5,0,2,3,7,2,2,0,3,2,30,90,0,0,2,0,0,5,51,18,2,15,2,18,5,16,3,2,1,7,20,11,7,1,17,17,0,0,7,0,2,1,7,5
2023-11-16 01:00:00,2,2,2,2,4,4,0,0,0,2,0,31,91,0,0,2,0,3,5,49,17,1,15,2,17,4,14,3,2,2,7,22,11,7,2,15,15,3,0,9,0,2,0,8,5
2023-11-16 00:00:00,6,157,2,121,8,278,3,48,2,44,33,29,97,3,3,28,0,3,4,43,16,1,15,1,12,2,12,3,3,3,5,32,15,8,7,18,16,3,0,9,0,1,0,10,5
